Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Model
28,0.7896443721453349,0.8040382682482402,0.635,0.6336666666666667,Model V0
29,0.7874092675844828,0.8010020101865133,0.634,0.6323333333333333,Model V0
30,0.7881779821713766,0.8043333083788554,0.639,0.63,Model V0
31,0.7855883614222209,0.7936247150103252,0.6444166666666666,0.6326666666666667,Model V0
32,0.7843375782171885,0.7900702896118164,0.6421666666666667,0.6406666666666667,Model V0
33,0.7840928467909495,0.8003834919929504,0.6385,0.6423333333333333,Model V0
34,0.7871677400271098,0.8026714383761088,0.6374166666666666,0.6226666666666667,Model V0
35,0.7806862655480703,0.7933429090181986,0.646,0.6393333333333333,Model V0
36,0.7789231842358907,0.8007057401339213,0.6451666666666667,0.6253333333333333,Model V0
37,0.7880324255625407,0.8152016243934631,0.6390833333333333,0.6226666666666667,Model V0
38,0.7770589701334636,0.788137333313624,0.6429166666666667,0.6436666666666667,Model V0
39,0.7797199244499207,0.8101785702705383,0.6456666666666667,0.6273333333333333,Model V0
40,0.7875914704004924,0.790758854230245,0.6403333333333333,0.6283333333333333,Model V0
41,0.7844115306536357,0.8140508726437886,0.6389166666666667,0.6203333333333333,Model V0
42,0.7802316432793935,0.7885682233174642,0.6450833333333333,0.646,Model V0
43,0.7789844042460123,0.8044621585210164,0.644,0.6323333333333333,Model V0
44,0.7786264492670695,0.8111100413004557,0.6409166666666667,0.6303333333333333,Model V0
45,0.7635280289649964,0.7924853030840556,0.65075,0.6326666666666667,Model V0
46,0.7677817675272623,0.7761498885154724,0.6515833333333333,0.6446666666666667,Model V0
47,0.763007662375768,0.7897988669077556,0.6468333333333334,0.6433333333333333,Model V0
48,0.7608992571036021,0.7854089897473653,0.6545,0.6353333333333333,Model V0
49,0.7600065378348032,0.7744405045509338,0.6585833333333333,0.65,Model V0
50,0.7611963682174683,0.7759266215960184,0.6569166666666667,0.642,Model V0
51,0.7585476809342703,0.7738916122118632,0.65075,0.658,Model V0
52,0.7624116249879201,0.7793020520210266,0.65675,0.647,Model V0
53,0.7576207660833995,0.7818323001861572,0.653,0.6406666666666667,Model V0
54,0.7629603140354156,0.7783836948076884,0.6541666666666667,0.6443333333333333,Model V0
55,0.7574648774464925,0.7865613943735759,0.6568333333333334,0.6396666666666667,Model V0
56,0.7573229143619538,0.7766283410390218,0.6539166666666667,0.642,Model V0
57,0.7499215490023295,0.7903965083758037,0.6575,0.645,Model V0
58,0.7490690879027049,0.7524863375027975,0.65925,0.663,Model V0
59,0.7534920309384664,0.7763883210817972,0.6569166666666667,0.6506666666666666,Model V0
60,0.7513416220347087,0.7632381049791972,0.656,0.652,Model V0
61,0.7498359257380167,0.7659674687385559,0.6599166666666667,0.651,Model V0
62,0.7558939935366312,0.7676493372917176,0.6586666666666666,0.655,Model V0
63,0.7484529999097188,0.7688978924751282,0.6618333333333334,0.647,Model V0
64,0.7434220817089081,0.7626474939982096,0.66525,0.66,Model V0
65,0.7471760983467102,0.7592385619481404,0.6629166666666667,0.6536666666666666,Model V0
66,0.7424442850748698,0.7583375674883525,0.6651666666666667,0.653,Model V0
67,0.7470853343804678,0.7710330489476522,0.6626666666666666,0.6446666666666667,Model V0
68,0.7460312470595042,0.75303573401769,0.6661666666666667,0.6643333333333333,Model V0
69,0.7384741112391154,0.7518616444269816,0.6683333333333333,0.654,Model V0
70,0.7366455748081208,0.7700731005668641,0.6689166666666667,0.642,Model V0
71,0.7427032782236735,0.7591947379112244,0.6621666666666667,0.6533333333333333,Model V0
72,0.739785345474879,0.7618518206278483,0.6674166666666667,0.6536666666666666,Model V0
73,0.743693242708842,0.7692285855611165,0.66525,0.6493333333333333,Model V0
74,0.7467613001664479,0.7593916978836059,0.668,0.659,Model V0
75,0.746679848353068,0.7736766633987426,0.6661666666666667,0.6556666666666666,Model V0
76,0.7457774760723114,0.767314045826594,0.6645,0.651,Model V0
77,0.7378139558633169,0.7684579022725423,0.669,0.6503333333333333,Model V0
78,0.7403631908098857,0.7662013376553853,0.6660833333333334,0.6486666666666666,Model V0
79,0.7392350904941559,0.7774743707974752,0.66225,0.6573333333333333,Model V0
80,0.7320238850911458,0.7650346733729044,0.67475,0.6543333333333333,Model V0
81,0.7375483171145121,0.7511141562461853,0.6673333333333333,0.6656666666666666,Model V0
82,0.7376927932898204,0.7519686919848124,0.6684166666666667,0.6536666666666666,Model V0
83,0.738782438993454,0.7623363297780354,0.67,0.653,Model V0
84,0.7371657328605652,0.7504813761711121,0.6723333333333333,0.662,Model V0
85,0.7419330137570699,0.7456825803120931,0.6664166666666667,0.6643333333333333,Model V0
86,0.7362560001214346,0.7674884378115336,0.6680833333333334,0.6496666666666666,Model V0
87,0.7373548918565115,0.7594618519147237,0.6693333333333333,0.66,Model V0
88,0.7349878217379252,0.751295691649119,0.66625,0.6583333333333333,Model V0
89,0.7402721571922303,0.754838595867157,0.6610833333333334,0.649,Model V0
90,0.7351107397079468,0.7621221378644307,0.66725,0.6516666666666666,Model V0
91,0.7450862549940745,0.7652702361742656,0.66775,0.654,Model V0
92,0.735176547686259,0.7613652769724528,0.66675,0.65,Model V0
93,0.7392937463919321,0.7650751177469889,0.6638333333333334,0.651,Model V0
94,0.7417922231356303,0.7601340675354004,0.6638333333333334,0.6593333333333333,Model V0
95,0.7376810931364696,0.7581598113377889,0.6693333333333333,0.6603333333333333,Model V0
96,0.7349428044954935,0.7606325337092081,0.6685,0.6583333333333333,Model V0
97,0.7361995612780253,0.7627100408871968,0.6703333333333333,0.6496666666666666,Model V0
98,0.7369359370867411,0.7645141838391621,0.6655833333333333,0.663,Model V0
99,0.7344840401808421,0.7637376465797424,0.6725,0.6533333333333333,Model V0
100,0.7386369885603586,0.7500677900314331,0.6655833333333333,0.661,Model V0
0,1.13784348154068,0.9423584796587626,0.47625,0.5343333333333333,Model V1
1,0.960986855506897,0.915504844824473,0.5255,0.5523333333333333,Model V1
2,0.9402489040692648,0.9432717232704163,0.542,0.5433333333333333,Model V1
3,0.9265914642016093,0.8847171694437663,0.55975,0.5626666666666666,Model V1
4,0.898425940990448,0.8741564656893412,0.5695833333333333,0.5813333333333334,Model V1
5,0.8912391066551208,0.8650951981544495,0.57875,0.592,Model V1
6,0.8809910744031271,0.8436198220252991,0.5868333333333333,0.611,Model V1
7,0.8655671478907268,0.8276922531127929,0.5908333333333333,0.62,Model V1
8,0.8593559288978576,0.8336482345263163,0.5993333333333334,0.608,Model V1
9,0.8375043876965841,0.7989212659200032,0.6106666666666667,0.626,Model V1
10,0.8397696798642477,0.7881633642514547,0.6164166666666666,0.6326666666666667,Model V1
11,0.8193566395441692,0.8005378993352255,0.631,0.633,Model V1
12,0.8160291775067647,0.7718261521657308,0.6311666666666667,0.6593333333333333,Model V1
13,0.8031604862213135,0.7695366295178732,0.6363333333333333,0.6643333333333333,Model V1
14,0.7956859347025553,0.7616490724881491,0.6413333333333333,0.671,Model V1
15,0.7835425462722778,0.8013230497042338,0.6504166666666666,0.6386666666666667,Model V1
16,0.7762440045674642,0.7557615416844686,0.65025,0.663,Model V1
17,0.7764483937422435,0.7777230820655823,0.6540833333333333,0.6583333333333333,Model V1
18,0.7768330198129018,0.7365842761993409,0.6571666666666667,0.679,Model V1
19,0.7653192520141602,0.7072276698748271,0.6610833333333334,0.6873333333333334,Model V1
20,0.7505853595733643,0.7668100997606914,0.6645833333333333,0.644,Model V1
21,0.7445434504350027,0.709568285147349,0.6691666666666667,0.678,Model V1
22,0.75330295864741,0.7450797799428304,0.6685,0.6663333333333333,Model V1
23,0.7441360541184743,0.7594857350985209,0.669,0.663,Model V1
24,0.7381239718596141,0.7672951664924622,0.675,0.6603333333333333,Model V1
25,0.7388635362784067,0.7028509944279988,0.6755,0.6946666666666667,Model V1
26,0.7329504220485688,0.7337454605102539,0.67925,0.6796666666666666,Model V1
27,0.7370836060841878,0.6968088264465332,0.6694166666666667,0.6923333333333334,Model V1
28,0.7290709980328878,0.724948767820994,0.6744166666666667,0.693,Model V1
29,0.7232057742277781,0.6789424091974894,0.6846666666666666,0.6963333333333334,Model V1
30,0.718567805369695,0.6749870222409566,0.6851666666666667,0.704,Model V1
31,0.7104728319644928,0.6869219284057617,0.6883333333333334,0.7,Model V1
32,0.7179552652041117,0.6971660211881002,0.6883333333333334,0.6906666666666667,Model V1
33,0.7101564932664235,0.7493421834309896,0.6923333333333334,0.689,Model V1
34,0.7069180668195089,0.6512347334225973,0.6918333333333333,0.7116666666666667,Model V1
35,0.7029902413686117,0.6588986258506775,0.69025,0.707,Model V1
36,0.6948730300267537,0.6924101614157359,0.6965833333333333,0.6936666666666667,Model V1
37,0.7038798949718476,0.6963469432195027,0.6975833333333333,0.6973333333333334,Model V1
38,0.6982300527890524,0.7517658848762512,0.6950833333333334,0.6833333333333333,Model V1
39,0.6978745522499085,0.6623285918235778,0.6965,0.709,Model V1
40,0.693557921330134,0.6871311534245809,0.70025,0.7073333333333334,Model V1
41,0.6749445432027181,0.6313774352073669,0.711,0.7286666666666667,Model V1
42,0.6549438224633535,0.6224438946247101,0.7170833333333333,0.7356666666666667,Model V1
43,0.6518160800139109,0.6529066033363342,0.7155,0.714,Model V1
44,0.6543599488735199,0.6282636671066284,0.7183333333333334,0.7323333333333333,Model V1
45,0.6540743449529012,0.6397092967033386,0.7185833333333334,0.722,Model V1
46,0.6533855556646982,0.6411177515983582,0.7209166666666667,0.7253333333333334,Model V1
47,0.6488711477120718,0.6282672300338745,0.7225833333333334,0.7263333333333334,Model V1
48,0.6478544302781423,0.640124530951182,0.7190833333333333,0.7213333333333334,Model V1
49,0.6289818058013916,0.6016217629114787,0.7300833333333333,0.7383333333333333,Model V1
50,0.6280040249029796,0.6094002830187479,0.7268333333333333,0.74,Model V1
51,0.6229010504881541,0.6031369492212931,0.7330833333333333,0.739,Model V1
52,0.6137564222812653,0.593016265710195,0.73575,0.7466666666666667,Model V1
53,0.6196020429929098,0.5985040935675303,0.7349166666666667,0.7443333333333333,Model V1
54,0.6131520700454712,0.6016150484085083,0.7369166666666667,0.7376666666666667,Model V1
55,0.6145387043952942,0.5855401203632354,0.7379166666666667,0.751,Model V1
56,0.61554767314593,0.6025653948783875,0.7438333333333333,0.7343333333333333,Model V1
57,0.6184704316457112,0.6089582369327545,0.7309166666666667,0.7386666666666667,Model V1
58,0.6104545745054881,0.5911127654711406,0.7384166666666667,0.7526666666666667,Model V1
59,0.6098335684935252,0.5999919665654501,0.737,0.7466666666666667,Model V1
60,0.6141797125339508,0.6118142145474752,0.737,0.7306666666666667,Model V1
61,0.6099208377202352,0.5934566898345948,0.741,0.7546666666666667,Model V1
62,0.6124636091391246,0.5904867963790894,0.74325,0.749,Model V1
63,0.6047179245948792,0.5826048270861308,0.7410833333333333,0.7573333333333333,Model V1
64,0.6006671395301819,0.5911347881952922,0.7413333333333333,0.7456666666666667,Model V1
65,0.6058231287002563,0.5946360873381297,0.74475,0.7456666666666667,Model V1
66,0.60431795724233,0.6073594946861267,0.7405833333333334,0.7396666666666667,Model V1
67,0.6021036111513773,0.5963183973630269,0.7425833333333334,0.745,Model V1
68,0.5935505553881327,0.5975758080482483,0.7474166666666666,0.7476666666666667,Model V1
69,0.5988710069656372,0.5775549262364705,0.74075,0.7436666666666667,Model V1
70,0.5956168646812439,0.5944486180941264,0.7480833333333333,0.7436666666666667,Model V1
71,0.5991588881015778,0.5835268972714742,0.7418333333333333,0.7436666666666667,Model V1
72,0.595896727959315,0.5951299795309702,0.7465833333333334,0.7343333333333333,Model V1
73,0.5962438521385193,0.5829458683331807,0.746,0.7413333333333333,Model V1
